filename,title,description,composition,conseil,catégories,brand,is_bio,weight_unit,manufacturer,gtin
mam_perfect_-_sucettes_sym_triques_-_animaux_-_6_mois_et_plus_2_unit_s_3.jpg,"PERFECT - Sucettes Symétriques - Animaux - 6 Mois et Plus, 2 Unités | Mam  - Parapharmacie Boticinal","Pour qui :Bébés à partir de l'âge de 6 moisForme :SymétriqueOn aime :Les trous d'aération laissent la peau respirerRésultats :Bébé reste calme et apaisé grâce aux sucettesLesSucettes Symétriques PerfectdeMAMavec comme motif des animaux respectent le besoin naturel de succion des bébés âgés de 6 mois.Elles sont composées avec du propylène sans BPA, ni BPS et dusiliconetrès doux unique.Les sucettes ont unecollerette arrondieet des trous d'aérations qui vont laisser la peau respirer afin d'éviter les irritations et rougeurs.Les sucettes apaisent etcalmentvotre bébé en toutes circonstances.Elles possèdent uneforme symétriqueetplatequi en plus de respecter le bon développement des dents.La boîte de transport fournie avec les sucettes sert à transporter les sucettes, mais aussi à lesstériliser.Important : Coloris aléatoire au moment de la livraison.9001616836053","Silicone doux SkinSoft.Sucette sans BPA, ni BPS.",Stérilisez la sucette pendant 5 minutes avant de la donner à votre bébé.,"['/Bébé & Maman', '/Bébé & Maman/Puériculture', '/Bébé & Maman/Puériculture/Sucettes', 'Mam']",Mam,Non,mg,Mam,9001616836053
mam_original_-_sucettes_sym_triques_-_rose_-_18_mois_et_plus_3_unit_s.jpg,"ORIGINAL - Sucettes Symétriques - Rose - 18 Mois et Plus, 3 Unités | Mam  - Parapharmacie Boticinal","Pour qui :Bébés âgés de 18 mois et plusForme :SymétriqueOn aime :Les motifsRésultats :Les sucettes réconfortent les bébésLesSucettes Symétriques OriginaldeMAMviennent apporter beaucoup d'apaisement aux bébés.Elles ont spécialement été fabriquées pour répondre aux besoins des bébés âgés de18 mois et plus.La formeplateetsymétriquedes sucettes les aident à se rappeler le mamelon de maman.Les sucettes sont composées avec dusilicone douxSkinSoft.La collerette des sucettes est bienarrondiepour garantir le confort de bébé et possède plusieurs trous afin que la peau respire librement.Les sucettes évitent donc l'apparition d'irritations et derougeursautour du contour de la bouche.Les sucettes sont sans BPA ni BPS ni PVC, conformément à la réglementation en vigueur.Le lot contient3 sucettes.9001616835926","Silicone.Sans BPA, ni BPS.","Avant de donner la sucette à votre enfant, nous vous conseillons vivement de la stériliser pendant minimum 5 minutes.","['/Bébé & Maman', '/Bébé & Maman/Puériculture', '/Bébé & Maman/Puériculture/Sucettes', 'Mam']",Mam,Non,mg,Mam,9001616835926
celliflore-cafe-arabica-p37880.jpg,Café Brûle Graisse - 10 sticks solubes | Juvamine  - Parapharmacie Boticinal,"Bienfaits: Contribue à brûler les graisses.Indications: Pour les personnes souhaitant maigrir.Actifs phares: Guarana, Café Arabica.On aime: Son format sous forme de sticks faciles à transporter !Le Celliflore Café Brûle-Graisse est une préparation de café soluble formuléà base decafé arabica et de guarana et qui contribue à donner de l’énergie et aider à brûler les graisses.Le caféine est reconnue pour sespropriétés stimulantes.Elle contribue également à stimuler le métabolisme, qui contribue à la combustion des calories.Le Guarana contribue à donner de l’énergie etfavoriser la combustion des graisses.3160920713484","Ingrédients** :Café Soluble 100% Arabica : 62%, Extrait de Graine de Guarana : 24%, Maltodextrine.Composition pour un stick : Café 100% Arabica 1300 mg, Guarana* 2000 mg.Energie : 1,8 kcal, Matières grasses : Traces dont Acides Gras Saturés : Traces, Glucides : Traces dont Sucres : Traces, Protéines : Traces, Sel : Traces.**Les listes d’ingrédients entrant dans la composition des produits sont régulièrement mises à jour. Vous êtes invités à lire la liste d’ingrédients figurant sur son emballage afin de vous assurer qu'ils sont adaptés à votre utilisation personnelle.","Agiter le stick avant ouverture, verser le contenu dans une tasse puis ajouter environ 200 ml d'eau frémissante. Pour préserver les qualités gustatives du produit, veiller à ne pas utiliser de l'eau bouillante. Consommer 2 à 3 sticks par jour.","['/Nutrition', '/Nutrition/Produits Diététiques', '/Nutrition/Produits Diététiques/Produits minceur', '/Nos Nouveautés', 'Juvamine']",Juvamine,Non,mg,Juvamine,3160920713484
iroha_nature_energy_-_patchs_hydrogel_yeux_anti-fatigue_la_vitamine_c_6_unit_s.jpg,"ENERGY - Patchs Hydrogel Yeux Anti-Fatigue à la Vitamine C, 6 Unités | Iroha Nature  - Parapharmacie Boticinal","Pour qui :Tous les types de peauIndication :Réduire les signes de fatigue du contour de l'oeilActif :Vitamine COn aime :Sa formule énergisante et revitalisanteRésultats :Le contour de l'oeil est plus lumineux, moins fatigués et l'aspect des cernes et poches est réduitLesPatchs Hydrogel Yeux à la Vitamine Cde la marqueIROHA NATUREréduisent les signes visibles de la fatigue du contour de l'oeil.Ils aident à réduire les poches, les cernes et les rides d'expression pour un regard plusfraiset pluslumineux.Les patchs yeux vont revitaliser la peau de cette zone délicate et fragile.Ils sont formulés avec de lavitamine Cpour améliorer en seulement 15 minutes l'aspect du regard.On aime sonefficacité rapidequi garantit des résultats professionnels à la maison.Ce produit est composé de6 patchsà usage unique.8436036431501","Aqua (Water), Glycerin, Sodium Polyacrylate, Sorbitol, Ricinus Communis (Castor) Seed Oil, Cellulose Gum, Kaolin, Aloe Barbadensis Leaf Juice Powder, Allantoin, Aluminum Hydroxide, Ascorbyl Palmitate, Disodium EDTA, Niacinamide, Panthenol, Retinyl Palmitate, Tocopheryl Acetate, Citrus Unshiu Peel Extract, Phenoxyethanol, Titanium Dioxide, Parfum (Fragrance), Tartaric Acid, Limonene, Butylene Glycol, CI 77492 (Iron Oxides), Linalool.",Commencez par séparer les patchs du plastique protecteur.Appliquez les patchs sur le contour de l'oeil.Laissez poser pendant 15 - 30 minutes.Retirez.Les patchs sont à usage unique.,"['/Visage', '/Visage/Contour des Yeux', '/Visage/Contour des Yeux/Patch Yeux', '/Nos Nouveautés', 'Iroha Nature']",Iroha Nature,Non,mg,Iroha Nature,8436036431501
soin-hydratant-velours-produit1boticinal1_2.png,"VITA CITRAL - Crème Hydratante Velours - Mains Sèches, 50ml | Asepta  - Parapharmacie Boticinal","Pour qui :Pour les peaux sèchesRésultats :La peau est hydratée et protégéeLes actifs :Beurre de Karité, Huile de pépins de Raisins, Glycérine végétaleOn aime :Sa formule sans parfumLa Crème Mains Velours Vita Citral des laboratoires Aseptaest enrichie en huile de pépins de Raisins, en beurre de Karité et en Glycérine végétale.Ce soinhydratela peau en profondeur et laprotègedes agressions extérieures.La fonctionbarrièrede la peau estrestaurée.Sa texture laisse unfilm douxet non gras sur la peau.La peau estdouce, soupleet intensémenthydratée.3401560032642","Aqua (water), glycerin, butyrospermum parkii (shea) butter, vitis vinifera (grape) seed oil, cetearyl alcohol, cetyl alcohol, glyceryl stearate, peg-75 stearate, dimethicone, polyacrylamide, benzyl alcohol, parfum (fragance), ceteth-20, steareth-20, c13-14 isoparaffin, chlorhexidine digluconate, laureth-7, tocopherol.",Appliquez une noisette de crème sur le dos de la main puis massez jusqu'à l'absorption complète du soin. Utilisez aussi souvent que nécessaire.,"['/Corps', '/Corps/Mains', '/Corps/Mains/Hydratants', '/Corps/Mains/Nourrissants', '/Nos Nouveautés', 'Asepta']",Asepta,Non,mL,Asepta,3401560032642
solgar-baies-de-15979.jpg,"Baies de Saw Palmetto, 100 gélules végétales | Solgar  - Parapharmacie Boticinal","Complément alimentaire à base de baies de Saw Palmetto (Serenoa Repens).Il combine les avantages de la plante fraîche, ainsi que des principaux actifs en extraits sexs.Ne contient pas de sucre, de sel, de levure, de blé, de soja, de dérivés laitiers, de conservateurs, d'arômes, ni de colorants artificiels.Convient à un régime végétarien.0033984040236","Ingrédients**: Baies de Saw Palmetto Extrait (Serenoa repens), Poudre brute de baies de Saw Palmetto, Enveloppe de la gélule végétale (Hydroxypropylméthyl-Cellulose), Agents anti-agglomérants : Dioxyde de silicium, Stéarate de Magnésium végétal.Chaque gélule végétale contient :Baies de Saw Palmetto Extrait (Sereona repens) : 300 mgPoudre brute de baies de Saw Palmetto : 220 mgEnveloppe de la gélule végétale (hydroxypropylméthyl-cellulose)Agents anti-agglomérants : dioxide de silicium, stéarate de magnésium végétal**Les listes d’ingrédients entrant dans la composition des produits sont régulièrement mises à jour. Vous êtes invités à lire la liste d’ingrédients figurant sur son emballage afin de vous assurer qu'ils sont adaptés à votre utilisation personnelle.","1 à 3 gélules végétales par jour, de préférence au repas, ou sur recommandation d'un thérapeute.Précautions d'emploi: Respecter le mode d'utilisation. Ne pas dépasser la dose journalière indiquée. A tenir hors de portée des enfants. Ce complément alimentaire ne peut se substituer à une alimentation variée, équilibrée et à un mode de vie sain.","['/Nutrition', '/Nutrition/Bien-être & Santé', '/Nutrition/Bien-être & Santé/Confort urinaire', '/Nos Nouveautés', 'Solgar']",Solgar,Non,mg,Solgar,0033984040236
la_roche_posay-la_roche_posay-3337875876940-front-0.png,"CICAPLAST - Baume B5+ SPF50 Ultra-Réparateur Apaisant Anti-Marques, 40ml | La Roche-Posay  - Parapharmacie Boticinal","Pour qui :Peaux irritées ou fragilisées, de l'enfant et de l'adulte.Résultats beauté: Votre peau est réparée et apaisée, vos marques sont moins visibles. Très haute protection UVA UVB.Actifs :Panthénol 5%, Madécassoside, Tribioma.On aime :Testé post-acte et post-tatouage, préserve la couleur des tatouages.LeBaume Cicaplast B5+ SPF50 de La Roche-Posayrépare, apaise et prévient des marques cicatricielles rouges ou brunes.Il vous garantit unetrès haute protection UVA UVB.Convientaux peaux fragilisées exposées aux UV ou à risque de pigmentation.Pour enfants et adultes.Testé post-acte et post-tatouage.3337875876940","AQUA / WATER • GLYCERIN • PANTHENOL • ISOPROPYL PALMITATE • C12-15 ALKYL BENZOATE • BIS-ETHYLHEXYLOXYPHENOL METHOXYPHENYL TRIAZINE • ETHYLHEXYL TRIAZONE • BUTYL METHOXYDIBENZOYLMETHANE • ISOPROPYL MYRISTATE • ALCOHOL DENAT. • DIMETHICONE • DIETHYLAMINO HYDROXYBENZOYL HEXYL BENZOATE • PHENYLBENZIMIDAZOLE SULFONIC ACID • PENTYLENE GLYCOL • TROMETHAMINE • POTASSIUM CETYL PHOSPHATE • SILICA • SYNTHETIC WAX • BUTYLENE GLYCOL • CENTELLA ASIATICA LEAF EXTRACT • POLYMNIA SONCHIFOLIA ROOT JUICE • STEARIC ACID • STEARYL ALCOHOL • ZINC GLUCONATE • GLYCERYL STEARATE • MADECASSOSIDE • TRIETHANOLAMINE • TEREPHTHALYLIDENE DICAMPHOR SULFONIC ACID • MANGANESE GLUCONATE • PEG-100 STEARATE • ALPHA-GLUCAN OLIGOSACCHARIDE • MYRISTIC ACID • 2-OLEAMIDO-1,3-OCTADECANEDIOL • PALMITIC ACID • MANNOSE • AMMONIUM POLYACRYLOYLDIMETHYL TAURATE • ISOPROPYL LAUROYL SARCOSINATE • HYDROXYPROPYL METHYLCELLULOSE • CAPRYLYL GLYCOL • VITREOSCILLA FERMENT • CITRIC ACID • TRISODIUM ETHYLENEDIAMINE DISUCCINATE • LACTOBACILLUS • MALTODEXTRIN • XANTHAN GUM • TOCOPHEROL • PHENOXYETHANOL (F.I.L. Z70038205/1).","Appliquzr en couche épaisse ou fine sur le corps et le visage. Appliquez sur une peau propre et sèche. Évitez le contour des yeux. Ne pas appliquer sur des plaies ouvertes.Ce produit n'est pas un produit solaire. En cas d'exposition solaire intense ou prolongée, utiliser une protection solaire adaptée.","['/Visage', '/Visage/Peau Sensible & Atopique', '/Corps', '/Corps/Soins spécifiques/Cicatrisants & Réparateurs', '/Corps/Soins spécifiques', '/Visage/Peau Sensible & Atopique/Crème Réparatrice', '/Nos Nouveautés', 'La Roche-Posay']",La Roche-Posay,Non,mL,La Roche-Posay,3337875876940
myvariations-dentifrice-blancheur-75ml-bio-boticinal-depositphotos-bgremover.png,"Dentifrice Blancheur Bio, 75ml | MyVariations   - Parapharmacie Boticinal","Pour qui :Pour les adultes et les enfants de plus de 7 ansRésultats :Les dents sont plus blanchesLes actifs :Silice, Fluor, Propolis, MentheLe + :Sa formule Bio et composée à 100% d'ingrédients d'origine naturelleLe Dentifrice Blancheur MyVariationsoffre des dents plus éclatantes et plus blanches brossage après brossage.Sa formule certifiéeBioet composée à100%d'ingrédientsd'originenaturelleprend soin de vos dents et de l'environnement grâce à sonemballage recyclableen aluminium.Il est formulé avec de laSIlicequi permet deblanchirles dents progressivement et d'éliminer les taches.L'hydroxyapatitepermet de prendre soin de l'émail des dents et de lereminéraliser.LeFluor1450ppmprotègel'émail des dents et aide à lutter contre la formation de caries.LaPropolislimite la formation deplaque dentaireet réduit l'inflammation des gencives.LaMentherafraîchit l'haleine.3770018510071","AQUA, GLYCERIN, HYDRATED SILICA, HYDROGENATED STARCH HYDROLYSATE, XANTHAN GUM, HYDROXYAPATITE, DECYL GLUCOSIDE, AROMA*, SODIUM FLUORIDE, STEVIA REBAUDIANA EXTRACT*, LIMONENE, PROPOLIS EXTRACT**Ingrédient issu de l'agriculture biologique",Appliquez une noisette de dentifrice sur votre brosse à dents. Brossez-vous les dents pendant 2 minutes puis rincez.,"['/Hygiène/Hygiène bucco-dentaire', '/Hygiène/Hygiène bucco-dentaire/Dentifrices', '/Hygiène', '/Nos Nouveautés', 'MyVariations ']",MyVariations,Oui,mL,MyVariations,3770018510071
image_1_.png,"RhinoSédal - Spray Nasal à l'Eau de Mer Hypertonique, 20ml | Elerté  - Parapharmacie Boticinal","Bienfaits: Aide à décongestionner le nez et réduit les sensations d'irritations.Indications: En cas de rhume, rhinite ou sinusite.Actifs phares: Eau de mer hypertonique, Tamarin, Mauve.Durée de la cure: A utiliser lorsque l'on en ressent le besoin.On aime: Sa formule à base d'actifs d'origine 100% naturelle.Rhinosédal est un dispositif médical sous forme de spray nasal qui aide à décongestionner le nez en cas de rhume, rhinite ou sinusite.Sa formule à base d'eau de mer hypertonique, de tamarin et de mauve aide à décongestionné le nez et réduire les irritations en douceur et de façon naturelle.L'eau de mer hypertonique est largement utilisée pour déboucher le nez.L'extrait de tamarin est reconnu pour ses propriétés anti-infectieuses et expectorantes.L'extrait de mauve est reconnu pour ses bienfaits anti-inflammatoire et apaisants.3770010885139","Ingrédients**: Eau de mer naturelle (hypertonique : 2,2 % de NaCl), extrait de tamarin, extrait de mauve, eau purifiée, acide citrique.**Les listes d’ingrédients entrant dans la composition des produits sont régulièrement mises à jour. Vous êtes invités à lire la liste d’ingrédients figurant sur son emballage afin de vous assurer qu'ils sont adaptés à votre utilisation personnelle.","Le spray nasal Rhinosédal est destiné à l'adulte et l'enfant à partir de 2 ans. Enlever le capuchon avant utilisation. Lors de la première utilisation, effectuer 1 ou 2 pressions pour amorcer la pompe. Pencher légèrement la tête sur le côté, insérer l'embout du spray nasal dans une narine, effectuer 2 pulvérisations dans chaque narine. Essuyer le surplus qui pourrait couler du nez à l'aide d'un mouchoir propre. Nettoyer soigneusement l'embout à l'eau chaude après utilisation. Bien remettre le capuchon sur l'embout.Rhinosédal doit être administré aux enfants avec l'aide d'un adulte.Précautions d'emploi: Ne pas utiliser chez les enfants de moins de 2 ans. Ne pas utiliser en cas d'hypersensibilité ou d'allergie individuelle à un ou plusieurs des composants.","['/Santé', ""/Santé/Sources d'inconfort"", ""/Santé/Sources d'inconfort/Nez & Gorge"", '/Nos Nouveautés', 'Elerté']",Elerté,Non,mL,Elerté,3770010885139
3770000717723.jpg,"Après-Shampoing Hydratant Démêlant Rechargeable - Tous Types de Cheveux, 200g | La Rosée  - Parapharmacie Boticinal","Pour qui :Tous les types de cheveux.Résultats beauté :Les cheveux sont démêlés et hydratés pour une sensation de légèreté.Actifs :Kératine Végétale, Lait d'Amande, Extraits de Fleurs d'Hibiscus, Huile de Jojoba.On aime :Sa texture onctueuse.L'Après-Shampoing Hydratant Démêlant La Roséeest une solution sans silicones ni sulfates qui facilite le coiffage en démêlant, gainant et lissant la fibre capillaire.Enrichi enkératine végétale, il apporte les protéines nécessaires pourhydrater, renforcer et protégerles cheveux.Lelait d'amande douceoffre hydratation et douceur, laissant les cheveuxlégers et soyeux.La combinaison desfleurs d'hibiscuset de l'huile de jojobarevitalise les cheveux, les rendant plusbrillantset plusrésistants.Il convient auxfemmes enceinteset aux enfants à partir de3 ans.Il estfabriqué en France.La Rosée assure une consommation plus écologique et plus économique de ses produits, grâce à sesrecharges.3770000717723","AQUA (WATER), CETEARYL ALCOHOL, GLYCERIN, DISTEAROYLETHYL DIMONIUM CHLORIDE, SIMMONDSIA CHINENSIS (JOJOBA) SEED OIL, PARFUM (FRAGRANCE), CAESALPINIA SPINOSA GUM, HIBISCUS SABDARIFFA FLOWER EXTRACT, HYDROLYZED WHEAT PROTEIN, HYDROLYZED CORN PROTEIN, HYDROLYZED SOY PROTEIN, PRUNUS AMYGDALUS DULCIS (SWEET ALMOND) FRUIT EXTRACT, PRUNUS AMYGDALUS DULCIS (SWEET ALMOND) OIL, SODIUM BENZOATE, CITRIC ACID, LEVULINIC ACID, SODIUM LEVULINATE, ZEA MAYS (CORN) STARCH, GLUCONOLACTONE, POTASSIUM SORBATE, POLYGLYCERYL-4 CAPRATE, TOCOPHEROL, XANTHAN GUM, SODIUM HYDROXIDE, CALCIUM GLUCONATE.","Après le shampoing, répartissez sur toute la chevelure, laissez poser une minute puis rincez.","['/Cheveux', '/Cheveux/Soins/Après-shampooings', '/Cheveux/Soins', '/Nos Nouveautés', 'La Rosée']",La Rosée,Non,g,La Rosée,3770000717723
